case,iter,ms,bytes,notes
keygen,0,4.18244,0,"genus=8;mine_ms=30000;threads=0"
encaps,0,17.1971,0,""
decaps,0,21.1652,0,""
encaps,1,17.0588,0,""
decaps,1,21.2478,0,""
encaps,2,13.8916,0,""
decaps,2,18.5497,0,""
encaps,3,13.7174,0,""
decaps,3,18.1507,0,""
encaps,4,13.7682,0,""
decaps,4,18.2649,0,""
encaps,5,12.5384,0,""
decaps,5,17.9114,0,""
encaps,6,13.3432,0,""
decaps,6,16.8562,0,""
encaps,7,12.5339,0,""
decaps,7,20.4252,0,""
encaps,8,12.6809,0,""
decaps,8,18.0844,0,""
encaps,9,12.6426,0,""
decaps,9,16.8037,0,""
encaps,10,13.5461,0,""
decaps,10,16.933,0,""
encaps,11,12.6509,0,""
decaps,11,17.9099,0,""
encaps,12,16.1782,0,""
decaps,12,17.0373,0,""
encaps,13,12.7534,0,""
decaps,13,17.1625,0,""
encaps,14,12.8382,0,""
decaps,14,16.9555,0,""
encaps,15,12.7107,0,""
decaps,15,17.0089,0,""
encaps,16,12.7173,0,""
decaps,16,17.1255,0,""
encaps,17,12.4507,0,""
decaps,17,17.2963,0,""
encaps,18,12.8312,0,""
decaps,18,17.0736,0,""
encaps,19,12.6888,0,""
decaps,19,17.0466,0,""
encaps,20,12.9158,0,""
decaps,20,17.1759,0,""
encaps,21,12.7409,0,""
decaps,21,17.08,0,""
encaps,22,12.8039,0,""
decaps,22,17.0928,0,""
encaps,23,12.8434,0,""
decaps,23,16.9547,0,""
encaps,24,12.4827,0,""
decaps,24,17.3235,0,""
encaps,25,13.5259,0,""
decaps,25,17.2397,0,""
encaps,26,12.7665,0,""
decaps,26,17.1892,0,""
encaps,27,13.7637,0,""
decaps,27,17.3845,0,""
encaps,28,12.8147,0,""
decaps,28,17.4239,0,""
encaps,29,12.9838,0,""
decaps,29,17.2822,0,""
encaps,30,12.9319,0,""
decaps,30,17.2271,0,""
encaps,31,12.8032,0,""
decaps,31,17.2468,0,""
encaps,32,12.8514,0,""
decaps,32,17.3337,0,""
encaps,33,12.8863,0,""
decaps,33,17.2748,0,""
encaps,34,12.8944,0,""
decaps,34,17.3968,0,""
encaps,35,13.1399,0,""
decaps,35,41.4352,0,""
encaps,36,15.7484,0,""
decaps,36,21.7703,0,""
encaps,37,13.1301,0,""
decaps,37,17.1291,0,""
encaps,38,13.0359,0,""
decaps,38,17.507,0,""
encaps,39,12.9478,0,""
decaps,39,17.4987,0,""
encaps,40,12.9639,0,""
decaps,40,17.5028,0,""
encaps,41,12.9877,0,""
decaps,41,17.4828,0,""
encaps,42,12.9298,0,""
decaps,42,17.4322,0,""
encaps,43,13.117,0,""
decaps,43,20.0423,0,""
encaps,44,13.0049,0,""
decaps,44,17.7494,0,""
encaps,45,12.8965,0,""
decaps,45,18.6057,0,""
encaps,46,12.8402,0,""
decaps,46,17.4458,0,""
encaps,47,13.097,0,""
decaps,47,17.5689,0,""
encaps,48,12.9817,0,""
decaps,48,17.557,0,""
encaps,49,13.2998,0,""
decaps,49,17.519,0,""
encaps,50,12.9768,0,""
decaps,50,17.4401,0,""
encaps,51,13.2558,0,""
decaps,51,17.8078,0,""
encaps,52,13.0133,0,""
decaps,52,18.6221,0,""
encaps,53,16.0878,0,""
decaps,53,18.8479,0,""
encaps,54,16.0612,0,""
decaps,54,19.5958,0,""
encaps,55,15.3345,0,""
decaps,55,19.3354,0,""
encaps,56,15.3009,0,""
decaps,56,19.865,0,""
encaps,57,16.0452,0,""
decaps,57,20.1476,0,""
encaps,58,15.5263,0,""
decaps,58,19.7077,0,""
encaps,59,15.2975,0,""
decaps,59,19.9679,0,""
encaps,60,18.3293,0,""
decaps,60,23.8272,0,""
encaps,61,18.3709,0,""
decaps,61,23.3504,0,""
encaps,62,17.5989,0,""
decaps,62,24.7001,0,""
encaps,63,17.8339,0,""
decaps,63,29.2698,0,""
encaps,64,21.1467,0,""
decaps,64,24.5359,0,""
encaps,65,15.8893,0,""
decaps,65,19.49,0,""
encaps,66,16.9777,0,""
decaps,66,19.8429,0,""
encaps,67,15.0026,0,""
decaps,67,20.8331,0,""
encaps,68,14.4812,0,""
decaps,68,19.9556,0,""
encaps,69,15.8999,0,""
decaps,69,20.8314,0,""
encaps,70,13.5096,0,""
decaps,70,20.6656,0,""
encaps,71,14.7463,0,""
decaps,71,24.6107,0,""
encaps,72,13.5856,0,""
decaps,72,19.424,0,""
encaps,73,13.6513,0,""
decaps,73,19.7919,0,""
encaps,74,14.7663,0,""
decaps,74,18.6904,0,""
encaps,75,13.5303,0,""
decaps,75,19.6884,0,""
encaps,76,13.712,0,""
decaps,76,18.7949,0,""
encaps,77,13.6515,0,""
decaps,77,18.5835,0,""
encaps,78,13.72,0,""
decaps,78,18.733,0,""
encaps,79,13.7526,0,""
decaps,79,19.9523,0,""
encaps,80,13.7368,0,""
decaps,80,18.7921,0,""
encaps,81,13.7877,0,""
decaps,81,18.7042,0,""
encaps,82,13.8441,0,""
decaps,82,18.6939,0,""
encaps,83,13.8412,0,""
decaps,83,20.0021,0,""
encaps,84,18.0845,0,""
decaps,84,32.0514,0,""
encaps,85,21.7647,0,""
decaps,85,31.5305,0,""
encaps,86,21.9243,0,""
decaps,86,22.3504,0,""
encaps,87,17.7091,0,""
decaps,87,21.8993,0,""
encaps,88,16.7313,0,""
decaps,88,23.4195,0,""
encaps,89,16.6601,0,""
decaps,89,21.1212,0,""
encaps,90,16.9095,0,""
decaps,90,21.4099,0,""
encaps,91,31.2626,0,""
decaps,91,38.8235,0,""
encaps,92,22.487,0,""
decaps,92,42.8087,0,""
encaps,93,40.8631,0,""
decaps,93,29.3913,0,""
encaps,94,19.5341,0,""
decaps,94,36.2968,0,""
encaps,95,18.3933,0,""
decaps,95,22.8259,0,""
encaps,96,16.5716,0,""
decaps,96,25.1384,0,""
